section,training_seed,split,prediction_source,score_or_state,region,window_sec,metric,legacy_value,final_value,signed_difference_final_minus_legacy,absolute_difference,exactly_equal
conditional_error_detection,0,val,mc_dropout_t30,mc_entropy,near_boundary,5.0,aupr,0.6338419196727529,0.6641222245129248,0.030280304840171857,0.030280304840171857,False
conditional_error_detection,0,val,mc_dropout_t30,mc_entropy,far_from_boundary,5.0,auroc,0.7620040550482136,0.7629756823051925,0.0009716272569789686,0.0009716272569789686,False
conditional_error_detection,0,val,mc_dropout_t30,mc_entropy,far_from_boundary,5.0,aupr,0.5464701665823538,0.5477087602205093,0.001238593638155483,0.001238593638155483,False
conditional_error_detection,0,val,mc_dropout_t30,mc_entropy,near_boundary,10.0,auroc,0.6270944129925087,0.6353249135410894,0.008230500548580766,0.008230500548580766,False
conditional_error_detection,0,val,mc_dropout_t30,mc_entropy,near_boundary,10.0,aupr,0.6617560549274073,0.6820959092500508,0.020339854322643514,0.020339854322643514,False
conditional_error_detection,0,val,mc_dropout_t30,mc_entropy,far_from_boundary,10.0,auroc,0.762715814659665,0.7636773090338635,0.0009614943741985682,0.0009614943741985682,False
conditional_error_detection,0,val,mc_dropout_t30,mc_entropy,far_from_boundary,10.0,aupr,0.5423039981792356,0.5435383634762169,0.001234365296981288,0.001234365296981288,False
conditional_error_detection,0,val,mc_dropout_t30,mc_entropy,near_boundary,20.0,auroc,0.654408559540321,0.6539904569573137,-0.00041810258300722936,0.00041810258300722936,False
conditional_error_detection,0,val,mc_dropout_t30,mc_entropy,near_boundary,20.0,aupr,0.6815839676533282,0.6859124634409149,0.004328495787586761,0.004328495787586761,False
conditional_error_detection,0,val,mc_dropout_t30,mc_entropy,far_from_boundary,20.0,auroc,0.7639012256187542,0.765237028413993,0.0013358027952388163,0.0013358027952388163,False
conditional_error_detection,0,val,mc_dropout_t30,mc_entropy,far_from_boundary,20.0,aupr,0.5348205478260446,0.5370670358992647,0.002246488073220143,0.002246488073220143,False
conditional_error_detection,0,val,mc_dropout_t30,mc_mutual_info,near_boundary,5.0,auroc,0.6230601783582614,0.6234371688917143,0.00037699053345285893,0.00037699053345285893,False
conditional_error_detection,0,val,mc_dropout_t30,mc_mutual_info,near_boundary,5.0,aupr,0.7024128078022159,0.699684730572111,-0.0027280772301049305,0.0027280772301049305,False
conditional_error_detection,0,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,5.0,auroc,0.7508501002430069,0.7530495556615249,0.0021994554185179593,0.0021994554185179593,False
conditional_error_detection,0,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,5.0,aupr,0.4781323587677394,0.4758715675264673,-0.0022607912412720976,0.0022607912412720976,False
conditional_error_detection,0,val,mc_dropout_t30,mc_mutual_info,near_boundary,10.0,auroc,0.6331179352280741,0.6397195100980185,0.006601574869944393,0.006601574869944393,False
conditional_error_detection,0,val,mc_dropout_t30,mc_mutual_info,near_boundary,10.0,aupr,0.7017455735750665,0.7159111416421071,0.014165568067040613,0.014165568067040613,False
conditional_error_detection,0,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,10.0,auroc,0.7520551190635846,0.7539256422842986,0.0018705232207140154,0.0018705232207140154,False
